Date;Close;;;;;;
27/01/2017;142.45;;;;;;
26/01/2017;138.96;;;;;;
25/01/2017;139.52;;;;;;
24/01/2017;140.11;;;;;;
23/01/2017;137.39;;;;;;
20/01/2017;138.60;;;;;;
19/01/2017;138.41;;;;;;
18/01/2017;133.26;;;;;;
17/01/2017;132.89;;;;;;
13/01/2017;133.70;;;;;;
12/01/2017;129.18;;;;;;
11/01/2017;130.50;;;;;;
10/01/2017;129.89;;;;;;
09/01/2017;130.95;;;;;;
06/01/2017;131.07;;;;;;
05/01/2017;131.81;;;;;;
04/01/2017;129.41;;;;;;
03/01/2017;127.49;;;;;;
30/12/2016;123.80;;;;;;
29/12/2016;125.33;;;;;;
28/12/2016;125.89;;;;;;
27/12/2016;128.35;;;;;;
23/12/2016;125.59;;;;;;
22/12/2016;125.58;;;;;;
21/12/2016;126.50;;;;;;
20/12/2016;125.12;;;;;;
19/12/2016;125.45;;;;;;
16/12/2016;124.22;;;;;;
15/12/2016;125.00;;;;;;
14/12/2016;123.44;;;;;;
13/12/2016;123.78;;;;;;
12/12/2016;122.83;;;;;;
09/12/2016;122.88;;;;;;
08/12/2016;123.24;;;;;;
07/12/2016;125.39;;;;;;
06/12/2016;124.57;;;;;;
05/12/2016;119.16;;;;;;
02/12/2016;120.81;;;;;;
01/12/2016;117.22;;;;;;
30/11/2016;117.00;;;;;;
29/11/2016;117.51;;;;;;
28/11/2016;116.93;;;;;;
25/11/2016;117.41;;;;;;
23/11/2016;117.69;;;;;;
22/11/2016;118.04;;;;;;
21/11/2016;117.96;;;;;;
18/11/2016;115.21;;;;;;
17/11/2016;115.03;;;;;;
16/11/2016;115.19;;;;;;
15/11/2016;113.59;;;;;;
14/11/2016;113.38;;;;;;
11/11/2016;114.78;;;;;;
10/11/2016;115.42;;;;;;
09/11/2016;122.19;;;;;;
08/11/2016;124.34;;;;;;
07/11/2016;124.58;;;;;;
04/11/2016;122.03;;;;;;
03/11/2016;122.14;;;;;;
02/11/2016;122.34;;;;;;
